Sr. No,RoadName,Description,Latitude,Longitude
1293,Tuas West Dr,Aft Tuas Ter,1.344389081,103.6383761
1294,Tuas West Dr,OPP TUAS LINK STN,1.341466526,103.6374504
1295,Tuas West Dr,TUAS LINK STN,1.340558073,103.6369654
1296,Tuas West Dr,Super Continental,1.338976449,103.6365874
1297,Tuas West Dr,Opp Super Continental,1.339125254,103.6364265
1298,Tuas West Dr,Bef Pioneer Rd,1.334832118,103.6351235
1299,Tuas West Dr,Aft Pioneer Rd,1.33559255,103.6348856
1300,Tuas West Dr,Aft Tuas West St,1.3322833,103.6341031
1301,Tuas West Dr,Opp Tuas West St,1.3328,103.6341217
1302,Tuas West Dr,Aft Tuas West Ave,1.329448265,103.6329188
1303,Tuas West Dr,Bef Tuas West Ave,1.329294722,103.6326458
1304,Tuas Link 4,Opp S'pore Epson Ind,1.335523534,103.6418412
1305,Tuas Link 4,S'pore Epson Ind,1.335528056,103.6416297
1306,Tuas Link 4,Opp Super Continental,1.339010336,103.6381665
1307,Tuas Link 4,Super Continental,1.338749722,103.6382378
1308,Tuas Ave 7,Kee Wee Hup Kee,1.333790554,103.6436359
1309,Tuas Ave 7,Opp Kee Wee Hup Kee,1.333559305,103.6436494
1310,Tuas Ave 12,MICHELMAN,1.329815,103.6408047
1311,Tuas Ave 12,OPP MICHELMAN,1.329814516,103.6409965
1312,Tuas Ave 7,ST KINETICS,1.332349,103.645156
1313,Tuas Ave 7,FUJIFILM,1.332311,103.64507
1314,Tuas Ave 7,PEC,1.329782,103.647851
1315,Tuas Ave 7,CAST LABORATORIES,1.329815,103.647687
1316,Tuas Ave 8,GARMCO,1.325522,103.645927
1317,Tuas Ave 8,LEE WELDED MESH,1.325651,103.645879
1318,Tuas Sth Ave 5,INVISTA,1.31836,103.637711
1319,Tuas Sth Ave 5,OPP INVISTA,1.318191,103.637247
1320,Tuas Sth Ave 5,OPP WEST STAR,1.315444,103.635242
1321,Tuas Sth Ave 5,WEST STAR,1.315542,103.634947
1322,Tuas Ave 8,CROWN EQUIPMENT,1.328334,103.648426
1323,Tuas Sth Ave 4,OPP WYETH PHARMACEUTICALS,1.310246,103.63509
1324,Tuas Sth Ave 4,WYETH PHARMACEUTICALS,1.30943,103.635806
1325,Tuas Sth Ave 7,PFIZER GLOBAL,1.301632,103.634717
1326,Tuas Sth Ave 7,MERCK SHARP & DOHME,1.301942,103.634519
1327,Tuas Sth Ave 7,OPP WESTLINK TWO,1.297703,103.633033
1328,Tuas Sth Ave 7,STARBURST ENGRG,1.294382,103.631889
1329,Tuas Sth Ave 7,CONTAINER CONNECTIONS,1.290329,103.631397
1330,Tuas Sth Ave 9,OPP ROCHE S'PORE TECH,1.296157,103.638434
1331,Tuas Sth Ave 6,NOVARTIS,1.299345,103.63553
1332,Tuas Sth Ave 8,BEF TUAS BAY LINK,1.293361,103.639925
1333,Tuas Sth Ave 8,AFT TUAS BAY LINK,1.293396,103.639523
1334,Tuas Bay Link,BEF OFFSHORE MARINE CTR,1.294546,103.641614
1335,Pioneer Rd,BEF TUAS WEST AVE,1.332541,103.637033
1336,Pioneer Rd,AFT TUAS WEST AVE,1.332109,103.637126
1337,Tuas Ave 20,AFT TUAS WEST RD STN,1.328519,103.639669
1338,Tuas Sth Ave 5,GLAXOSMITHKLINE,1.295593,103.627651
1339,Tuas Sth Ave 5,EDGEN MURRAY,1.295671,103.627284
1340,Tuas Sth Ave 5,OPP THE INDEX,1.288627,103.625073
1341,Tuas Sth Ave 5,THE INDEX,1.289014,103.624893
1342,Tuas Sth Ave 10,ABBOTT,1.284932,103.628258
1343,Tuas Sth Ave 12,HALLIBURTON,1.280501,103.62711
1344,Tuas Sth Ave 5,BEF TUAS STH AVE 14,1.27637,103.621508
1345,Tuas Sth Ave 14,OPP REC S'PORE,1.275062,103.624222
1346,Tuas Sth Ave 14,AFT TUAS STH ST 7,1.274334,103.632329
1347,Tuas Sth Ave 9,OPP SLS,1.276398,103.635811
1348,Tuas Sth Ave 9,BEF TUAS STH AVE 10,1.28207,103.636168
1349,Tuas Sth Ave 9,BEF TUAS STH AVE 7,1.28451,103.634186
1350,Tuas Ave 12,SIEM SENG HING,1.332261,103.643199
1351,Tuas Ave 12,OPP BEYONICS TECHNOLOGY,1.332495,103.64353
1352,Pioneer Rd,TUAS AMENITY CTR,1.317492,103.652589
1353,Tuas Cres,Bef Tuas Ave 11,1.319229656,103.6487671
1354,Tuas Cres,PROGRESS GALVANIZING,1.318612,103.648062
1355,Tuas Cres,Bef Tuas Ave 13,1.317261394,103.6469309
1356,Tuas Cres,CHIA HOCK TRADING CO,1.317805,103.647257
1357,Tuas Cres,Hiap Seng Engrg Ltd,1.315482572,103.6452468
1358,Tuas Cres,ASIA POLYURETHANE,1.316062,103.645623
1359,Tuas Cres,HIAP SENG ENGRG LTD,1.314711,103.643052
1360,Tuas Cres,Damen Shipyard,1.314865764,103.6427515
1361,Tuas Cres,BLASTING ABRASIVES,1.316385,103.641295
1362,Tuas Cres,PAXOCEAN,1.316727778,103.6408389
1363,Tuas Cres,B S DEVELOPMENT,1.318186,103.639406
1364,Tuas Cres,Aft Tuas Ave 16,1.318502778,103.6389756
1365,Tuas Cres,UNIFINE STAR PETROCHEM,1.320508,103.637024
1366,Tuas Cres,Bef Tuas Loop,1.320606111,103.6367553
1367,Tuas Cres,BEF TUAS AVE 18A,1.322491,103.634908
1368,Tuas Cres,Bef Tuas Ave 20,1.322151716,103.6351002
1369,Tuas Ave 20,ROTARY ENGRG,1.324656,103.636135
1370,Tuas Ave 20,Bef Tuas Ave 13,1.324642494,103.6359969
1371,Tuas Ave 20,BASF STH EAST ASIA,1.326868,103.638144
1372,Tuas Ave 20,Bef Tuas Ave 11,1.327277428,103.6384905
1373,Tuas Basin Link,Tru-Marine,1.314643056,103.6542583
1374,Tuas Basin Link,Bef Tuas Amenity Ctr,1.317368402,103.6513642
1375,Tuas Basin Link,Aft Tuas Cres,1.319022778,103.6497
1376,Tuas Ave 11,Smarty,1.326686247,103.6402559
1377,Tuas Ave 11,Opp Hempel,1.324529988,103.6425227
1378,Tuas Ave 11,3NC S'pore,1.322383257,103.6448005
1379,Tuas Ave 11,Richee Engrg,1.3201325,103.6471214
1380,Tuas West Dr,Opp MSD,1.326952915,103.6319295
1381,Tuas West Dr,MSD,1.32692,103.6317533
1382,Tuas Sth Ave 9,Framo S'pore Pte Ltd,1.290966108,103.6368387
1383,Tuas Sth Ave 9,Opp YLS Steel,1.293249778,103.6370023
1384,Tuas Sth Ave 3,Aft Tuas Sth Ave 2,1.320511398,103.6308499
1385,Tuas Sth Ave 3,Bef Tuas Sth Ave 2,1.320473708,103.6312183
1386,Tuas Sth Ave 3,Bef Tuas Sth Ave 2,1.317447843,103.6297268
1387,Tuas Sth Ave 3,Aft Tuas Sth Ave 2,1.317516394,103.6301108
1388,Tuas Sth Ave 3,Aft Tuas Sth Ave 4,1.314709069,103.6287122
1389,Tuas Sth Ave 3,Bef Tuas Sth Ave 4,1.314358333,103.628955
1390,Tuas Sth Ave 3,Aft Tuas Sth Ave 4,1.311334252,103.6278419
1391,Tuas Sth Ave 3,Opp Caterpillar,1.308545754,103.6268207
1392,Tuas Sth Ave 3,Bef Tuas Sth Ave 6,1.305109544,103.6255635
1393,Tuas Sth Ave 5,Aft Tuas Sth Ave 6,1.302288265,103.6297812
1394,Tuas Sth Ave 5,Bef Tuas Sth St 2,1.306039533,103.6311689
1395,Tuas Sth Ave 5,RS Components,1.308699576,103.6321343
1396,Tuas Sth Ave 4,Tuas Technology Pk,1.311939692,103.6299385
1397,Tuas Sth Ave 3,See Hup Seng,1.298469994,103.6230858
1398,Tuas Sth Ave 3,Yong Nam,1.293873807,103.6219215
1399,Tuas Sth Ave 3,Bef Tuas Sth Ave 5,1.290550809,103.6245338
1400,Tuas Sth Ave 3,Aft Tuas View Cres,1.28949499,103.6274603
1401,Tuas Sth Ave 3,Multico,1.289129093,103.6301987
1402,Tuas Sth Ave 3,Aft Tuas View Circuit,1.288919373,103.6330196
1403,Tuas Sth Ave 3,Bef Tuas Sth Ave 9,1.2886975,103.6358691
1404,Tuas Sth Ave 8,Aft Tuas Sth Ave 9,1.29448159,103.6361912
1405,Tuas Sth Ave 8,Bef Tuas Sth Ave 7,1.295689275,103.6329657
1406,Tuas Sth Ave 8,Bef Tuas Sth Ave 5,1.296897702,103.6297779
1407,Tuas Sth Ave 5,Aft Tuas Sth Ave 8,1.299464722,103.6287678
1408,Nanyang Cres,Blk 55,1.355863346,103.6861094
1409,Nanyang Cres,Hall 15,1.353241389,103.6819292
1410,Nanyang Cres,Hall 12,1.351868157,103.6805175
1411,Nanyang Cres,CP 7,1.350719362,103.6786425
1412,Nanyang Cres,NIE Lib,1.348453333,103.6766581
1413,Nanyang Dr,Opp Blk 41,1.349847221,103.6838708
1414,Nanyang Dr,Blk 41,1.350089722,103.6841844
1415,Nanyang Cres,Nanyang Crescent Hall,1.355075335,103.6845277
1416,Jln Bahar,Opp Blk 271 CP,1.34911,103.703885
1417,Jln Bahar,Blk 271 CP,1.350236894,103.70361
1418,Jln Bahar,Opp Westwood Sec Sch,1.352594722,103.7011164
1419,Jln Bahar,Westwood Sec Sch,1.353094722,103.7008231
1420,Jln Bahar,Bef Nanyang Ave,1.356823056,103.6952128
1421,Jln Bahar,Opp Nanyang Ave,1.357332172,103.6951604
1422,Jurong West St 91,Blk 932,1.34194,103.6885297
1423,Jurong West St 91,Blk 934,1.342027461,103.6889815
1424,Jurong West St 91,Blk 920,1.339675467,103.6877997
1425,Jurong West St 91,Juying Pr Sch,1.339065251,103.688758
1426,Jurong West St 92,Blk 924,1.340337778,103.6900514
1427,Nanyang Ave,Bef Jln Bahar,1.356931032,103.6942446
1428,Nanyang Ave,Bef Lor Danau,1.356045651,103.6916825
1429,Nanyang Ave,Aft Lor Danau,1.356184182,103.6917826
1430,Nanyang Ave,PUB Sub-Stn,1.355875888,103.6890362
1431,Nanyang Ave,Opp PUB Sub-Stn,1.356072042,103.6890392
1432,Nanyang Ave,Hall 11,1.354342168,103.6868575
1433,Nanyang Ave,Hall 8,1.351507017,103.6856923
1434,Nanyang Dr,Lee Wee Nam Lib,1.347931407,103.6805007
1435,Nanyang Dr,Blk 2,1.347932695,103.6802524
1436,Nanyang Dr,Sch Of CEE,1.346231517,103.6785176
1437,Nanyang Dr,Sch Of Comm And Info,1.342079724,103.6792227
1438,Nanyang Dr,Hall 7,1.339987266,103.6808938
1439,Nanyang Dr,Yunnan Gdn,1.341622696,103.6842061
1440,Nanyang Dr,Hall 4,1.343320114,103.6863209
1441,Jurong West St 91,Blk 962,1.34199989,103.6913205
1442,Jurong West St 91,Blk 953,1.34210239,103.6911929
1443,Lien Ying Chow Dr,Hall 1,1.345655,103.6878056
1444,Lien Ying Chow Dr,Opp Hall 6,1.347722674,103.6864993
1445,Pioneer Rd Nth,Blk 978,1.34045285,103.6943978
1446,Pioneer Rd Nth,Blk 705,1.341070469,103.6942654
1447,Lien Ying Chow Dr,Hall 2,1.349022111,103.6853929
1448,Pioneer Rd Nth,Blk 949,1.344039444,103.6917308
1449,Pioneer Rd Nth,Blk 840,1.3440425,103.691865
1450,Jurong West St 72,West Grove Pr Sch,1.345373056,103.6994114
1451,Jurong West St 72,Blk 729,1.346637034,103.6977882
1452,Jurong West St 72,Blk 745,1.346808056,103.6978181
1453,Jurong West Ave 5,Blk 715,1.34423201,103.6961317
1454,Jurong West Ave 5,Blk 817,1.34441435,103.6960137
1455,Jurong West Ave 5,Blk 710,1.342944904,103.6945224
1456,Jurong West Ave 5,Blk 834,1.342853733,103.694104
1457,Jurong West St 75,Opp Blk 755,1.347513843,103.7009944
1458,Jurong West St 75,Blk 755,1.348050421,103.7008739
1459,Jurong West St 75,Blk 749,1.34814783,103.6986383
1460,Jurong West St 75,Gek Poh Shop Ctr,1.348451809,103.6981044
1461,Jurong West St 82,Blk 857,1.348427066,103.696312
1462,Jurong West St 82,Bet Blks 859/860,1.348664698,103.6964037
1463,Jurong West St 81,Pioneer Sec Sch,1.347366006,103.694138
1464,Jurong West St 81,Blk 821,1.34719,103.6941675
1465,Jurong West St 81,Blk 844A CP,1.345908333,103.6927375
1466,Jurong West St 81,Blk 827,1.345754722,103.69282
1467,Jurong West St 71,Blk 701,1.342834167,103.6953636
1468,Jurong West St 71,Blk 711,1.342865,103.6955581
1469,Jurong West Ave 5,Blk 762,1.349465273,103.6973463
1470,Jurong West Ave 5,Blk 861,1.349410778,103.6971171
1471,Jurong West Ave 5,Bet Blks 757/758,1.350328688,103.7007933
1472,Jurong West Ave 5,Aft Westwood Ave,1.350532425,103.701079
1473,Jurong West Ave 3,Bet Blks 272D/271A,1.351286137,103.7041506
1474,Jurong West Ave 3,Blk 273B,1.3514507,103.7039904
1475,Jurong West Ave 3,Opp Blk 276B,1.352933058,103.7051286
1476,Jurong West Ave 3,Blk 276B,1.353071922,103.7048671
1477,Jurong West St 23,Corporation Pr Sch,1.352166558,103.7078248
1478,Jurong West St 23,Opp Corporation Pr Sch,1.351892343,103.7081826
1479,Jurong West St 93,NTUC HEALTH NURSING HME,1.340971167,103.6916711
1480,Jurong West St 93,Bef Yunnan Cres,1.340436472,103.6913582
1481,Jurong West St 93,Blk 974,1.339252023,103.6931057
1482,Jurong West St 93,Opp Blk 974,1.340042855,103.692924
1483,Jurong West St 93,Blk 986 CP,1.336808966,103.6940617
1484,Jurong West St 93,Opp Blk 987A,1.336298048,103.694063
1485,Jurong West St 91,Blk 918,1.340527952,103.686973
1486,Jurong West St 91,BEF XINGNAN PR SCH,1.340716145,103.6868923
1487,Jurong Gateway Rd,Jurong East Temp Int,1.333408188,103.7415425
1488,C'wealth Ave West,BEF TOH TUCK AVE,1.324258056,103.7591472
1489,C'wealth Ave West,Aft Toh Tuck Ave,1.324927205,103.7589433
1490,Boon Lay Way,OPP 8 @TRADEHUB 21,1.326158084,103.7554502
1491,Boon Lay Way,8 @ TRADEHUB 21,1.326889982,103.7543603
1492,Boon Lay Way,Bef The Synergy,1.327901,103.751015
1493,Boon Lay Way,Aft Boon Lay Sub Stn,1.328075,103.7514083
1494,Boon Lay Way,The Synergy,1.3300835,103.7482837
1495,Boon Lay Way,Opp The Synergy,1.330699213,103.7481034
1496,Boon Lay Way,Big Box,1.332289997,103.74574
1497,Boon Lay Way,Ng Teng Fong General Hosp,1.332606389,103.7458072
1498,Boon Lay Way,Jurong East Stn/Int,1.335963908,103.7425481
1499,Boon Lay Way,Blk 203,1.336442401,103.7425574
1500,Boon Lay Way,Blk 105,1.337650353,103.7390424
1501,Boon Lay Way,Blk 210,1.338399066,103.7386009
1502,Boon Lay Way,Blk 112,1.339508308,103.7366476
1503,Boon Lay Way,Bef Yuhua CC,1.340163586,103.7363464
1504,Boon Lay Way,Lakeside Stn,1.344257956,103.7201249
1505,Boon Lay Way,Opp Lakeside Stn,1.344320099,103.7192983
1506,Toh Tuck Ave,Opp SMRT Ulu Pandan Depot,1.333124368,103.7590562
1507,Toh Tuck Ave,SMRT Ulu Pandan Depot,1.333273442,103.7593318
1508,Jurong Rd,Aft Bt Batok Rd,1.347828963,103.7358544
1509,Jurong Rd,Bef Bt Batok Rd,1.347850605,103.7360553
1510,Jurong Rd,Opp Track 18,1.350320655,103.733396
1511,Jurong Rd,Aft Track 18,1.350318839,103.7337431
1512,Jurong Rd,Bef Jurong Lodge 1B,1.352785657,103.7305039
1513,Jurong Rd,Aft Track 22,1.353113025,103.7304425
1514,Jurong Rd,Aft Track 22,1.353997778,103.7285725
1515,Jurong Rd,Opp Jurong Lodge 1B,1.354059771,103.7291206
1516,Jurong Rd,Bef Hong Kah Circle,1.355826007,103.7214746
1517,Jurong Rd,Aft Hong Kah Circle,1.355987547,103.7213845
1518,Jurong Rd,Bef Hong Kah Flyover,1.356004212,103.7192784
1519,Jurong Rd,Aft Hong Kah Flyover,1.356162022,103.719496
1520,Toh Tuck Ave,Bef Toh Tuck Link,1.329966425,103.758198
1521,Toh Tuck Ave,Aft Toh Tuck Link,1.329921247,103.758506
1522,Jurong Gateway Rd,Opp The JTC Summit,1.332057062,103.7418505
1523,Jurong Gateway Rd,Opp Blk 135,1.334186773,103.7407068
1524,Jurong Town Hall Rd,Opp Intl Business Pk,1.32761805,103.7449417
1525,Jurong Town Hall Rd,German Ctr,1.325366752,103.7459319
1526,Jurong Town Hall Rd,Jurong Town Hall,1.329862011,103.7424818
1527,Jurong Town Hall Rd,Opp Jurong Town Hall,1.329804425,103.7430715
1528,Jurong Town Hall Rd,Opp Jurong East Lib,1.331758585,103.7395749
1529,Jurong Town Hall Rd,Jurong East Lib,1.332122873,103.7397917
1530,Jurong Town Hall Rd,S'pore Science Ctr,1.333828056,103.7369883
1531,Jurong Town Hall Rd,Opp S'pore Science Ctr,1.334154722,103.7369883
1532,Jurong Town Hall Rd,Aft S'pore Science Ctr,1.33614237,103.7348988
1533,Jurong Town Hall Rd,Blk 118,1.336532427,103.7349928
1534,Jurong Town Hall Rd,Opp Blk 114,1.338992597,103.7339058
1535,Jurong Town Hall Rd,Blk 114,1.339482955,103.7342365
1536,Jurong Town Hall Rd,Parc Oasis,1.342060328,103.7353755
1537,Jurong Town Hall Rd,Blk 228,1.342389722,103.7359889
1538,Jurong Town Hall Rd,Blk 303,1.344460904,103.736383
1539,Jurong Town Hall Rd,Blk 253,1.344383231,103.7366703
1540,Jurong Gateway Rd,Blk 131,1.334738999,103.740303
1541,Jurong Town Hall Rd,Intl Business Pk,1.326286276,103.7457849
1542,Jurong East Ctrl,Blk 209,1.338252775,103.7410835
1543,Jurong East Ctrl,Blk 207,1.338626239,103.7417331
1544,Jurong East Ave 1,Blk 239,1.341271664,103.7409031
1545,Jurong East Ave 1,Blk 246,1.341470923,103.7404357
1546,Jurong East Ave 1,Blk 229,1.342043929,103.7380493
1547,Jurong East Ave 1,Blk 252,1.342705106,103.7373752
1548,Boon Lay Way,Chinese Gdn Stn,1.342470278,103.7327128
1549,Boon Lay Way,Opp Chinese Gdn Stn,1.342551137,103.7331851
1550,Boon Lay Way,Opp Blk 350,1.343615278,103.7310558
1551,Boon Lay Way,Blk 350,1.343887222,103.7311994
1552,Boon Lay Way,Jurong Lake,1.344188818,103.7274878
1553,Boon Lay Way,Opp Jurong Lake,1.344497222,103.7274714
1554,Boon Lay Way,Bef Jurong West St 51,1.344879722,103.7240919
1555,Boon Lay Way,Aft Jurong West St 51,1.345136399,103.7242613
1556,Jurong West St 51,Blk 515,1.346269671,103.721296
1557,Jurong West St 51,Opp Blk 515,1.3464621,103.7214723
1558,Jurong West St 51,Blk 501,1.349780932,103.7193717
1559,Jurong West St 51,Blk 458,1.349749472,103.7196482
1560,Jurong West Ave 1,Blk 502,1.350654551,103.718614
1561,Jurong West Ave 1,Blk 454,1.350811494,103.7179377
1562,Jurong West St 52,Blk 526,1.348054444,103.7176175
1563,Jurong West St 52,Blk 517,1.345915861,103.7193457
1564,Jurong East Ctrl,Blk 134,1.334496265,103.7388156
1565,Jurong East Ctrl,Blk 124,1.33451434,103.738575
1566,Jurong East Ctrl,Seventh-Day Advent Ch,1.335766389,103.7388492
1567,Jurong East Ctrl,Bef Seventh-Day Advent Ch,1.336181667,103.739445
1568,Jurong East Ave 1,Parc Oasis,1.343941891,103.73466
1569,Jurong East Ave 1,Opp Parc Oasis,1.344407729,103.7343153
1570,Jurong East Ave 1,Blk 347,1.345332403,103.7320538
1571,Jurong East Ave 1,Blk 316,1.346127173,103.7319331
1572,Jurong East St 32,Opp Blk 311,1.348111456,103.7322464
1573,Jurong East St 32,Blk 306,1.346181391,103.7342159
1574,Jurong East Ave 1,Opp Jurong Polyclinic,1.349055961,103.7307863
1575,Jurong East Ave 1,Jurong Polyclinic,1.349630441,103.730462
1576,Jurong West Ave 1,Blk 490,1.349803284,103.7273777
1577,Jurong West Ave 1,Blk 422,1.350034709,103.7265401
1578,Jurong West Ave 1,Blk 463,1.350635965,103.7237236
1579,Jurong West Ave 1,Blk 425,1.350584168,103.7245249
1580,Jurong West Ave 1,Blk 457,1.350975481,103.7212004
1581,Jurong West Ave 1,Blk 441,1.351179213,103.7206511
1582,Jurong West Ave 1,Blk 536,1.350061155,103.7165294
1583,Jurong West Ave 1,Blk 538,1.349754774,103.7154239
1584,Jurong West St 42,Blk 551,1.352358056,103.71726
1585,Jurong West St 42,Blk 560A,1.353092019,103.71994
1586,Jurong West St 42,Blk 402,1.35318547,103.7223243
1587,Jurong West St 42,Blk 416,1.352420676,103.7254229
1588,Jurong West St 41,Blk 491,1.34925114,103.7257056
1589,Jurong West St 41,Opp Blk 481,1.346456389,103.7253825
1590,Jurong West St 41,Yuhua Sec Sch,1.347337447,103.7231677
1591,Jurong West St 41,Opp Blk 461,1.349277923,103.7210677
1592,Jurong East Ctrl,Blk 241,1.341543482,103.7435801
1593,Jurong East Ctrl,Blk 266,1.341953312,103.74425
1594,Toh Guan Rd,Opp Blk 288D,1.340531577,103.7441862
1595,Toh Guan Rd,Blk 288E,1.340456498,103.74396
1596,Toh Guan Rd,Blk 284,1.339178898,103.7461032
1597,Toh Guan Rd,Blk 286A,1.339013034,103.7460344
1598,Toh Guan Rd,Opp IMM Bldg,1.33515192,103.7479419
1599,Toh Guan Rd,IMM Bldg,1.334461893,103.7476778
1600,Toh Guan Rd East,Opp Jurong East Warehse,1.336655228,103.74952
1601,Toh Guan Rd East,Jurong East Warehse,1.336445,103.749355
1602,Toh Guan Rd East,Alliance Bldg,1.3371523,103.7522638
1603,Toh Guan Rd East,Hitachi Elevator Bldg,1.336614493,103.7511046
1604,Toh Guan Rd East,Toh Guan Ctr,1.337202426,103.7548889
1605,Toh Guan Rd East,Opp Toh Guan Ctr,1.337279344,103.75441
1606,Toh Guan Rd East,Wang-Fu Ind Pte Ltd,1.335652429,103.7574893
1607,Toh Guan Rd East,Opp Uni-Tech Ctr,1.335668506,103.757235
1608,Toh Tuck Link,Aft Old Toh Tuck Rd,1.331498333,103.75773
1609,Toh Tuck Link,Bef Old Toh Tuck Rd,1.331639972,103.7573441
1610,Penjuru Rd,Opp Sanmina-SCI,1.3085475,103.7336219
1611,Penjuru Rd,Sanmina-SCI,1.30809,103.7337659
1612,Penjuru Rd,Aft Jln Buroh,1.312674999,103.7345023
1613,Penjuru Rd,Bef Penjuru Cl,1.313669444,103.7349708
1614,Penjuru Rd,Aft Penjuru Pl,1.316531388,103.7353866
1615,Penjuru Rd,Bef Penjuru Wk,1.317914723,103.7359015
1616,Tg Penjuru,Ban Joo,1.306304994,103.7360537
1617,Tg Penjuru,LTH Logistics,1.305983213,103.7366867
1618,Jln Buroh,Opp Caltex S'pore,1.304620528,103.7428493
1619,Jln Buroh,Caltex S'pore,1.304372802,103.742525
1620,Jln Buroh,Aft Pandan Rd,1.302969478,103.7460724
1621,Pandan Rd,Gas Svc Intl,1.304226652,103.7517938
1622,Pandan Rd,Franklin Offshore,1.301778598,103.7528443
1623,Pandan Rd,Swanson Plastics,1.301467542,103.7527049
1624,Pandan Rd,Opp Sia Huat,1.299418862,103.7525439
1625,Pandan Rd,Bef Sia Huat,1.299386684,103.7520719
1626,Pandan Rd,PPL Shipyard,1.298560779,103.7499767
1627,Pandan Rd,Opp PPL Shipyard,1.298749171,103.7496962
1628,Pandan Rd,Transerve,1.300025833,103.7468519
1629,Pandan Rd,Comfortdelgro Engrg,1.300759621,103.747201
1630,Tg Penjuru,Opp Clp Intl,1.306701858,103.7395513
1631,Tg Penjuru,Clp Intl,1.306391943,103.7394918
1632,Pandan Ave,Opp Foh Foh Pte Ltd,1.302958465,103.7513745
1633,Pandan Ave,Senkee Logistics Hub,1.301692789,103.7484455
1634,Penjuru Rd,Aft Teban Gdns Cres,1.325324898,103.737505
1635,Old Choa Chu Kang Rd,Tengah Air Base,1.373677995,103.7142257
1636,Old Choa Chu Kang Rd,Opp Tengah Air Base,1.373333068,103.7136584
1637,Old Choa Chu Kang Rd,Opp Keat Hong Camp,1.374441956,103.7170523
1638,Old Choa Chu Kang Rd,Keat Hong Camp,1.374156028,103.7170963
1639,Old Choa Chu Kang Rd,Opp Army Logistics Base,1.374619354,103.7198387
1640,Old Choa Chu Kang Rd,Army Logistics Base,1.374321622,103.7198188
1641,Old Choa Chu Kang Rd,Opp Home Team Academy,1.374620141,103.7218882
1642,Old Choa Chu Kang Rd,Home Team Academy,1.374313322,103.7238366
1643,Old Choa Chu Kang Rd,Aft Track 14,1.374555769,103.7253705
1644,Old Choa Chu Kang Rd,Opp Track 14,1.374399352,103.726143
1645,Brickland Rd,Opp Hai Inn See Tp,1.377276847,103.7343131
1646,Brickland Rd,Aft Hai Inn See Tp,1.37716,103.7340917
1647,Sg Tengah Rd,Chengtai Nursery,1.379430556,103.7308564
1648,Sg Tengah Rd,Opp Chengtai Nursery,1.379721598,103.7312281
1649,Brickland Rd,BLK 485B,1.373713,103.738897
1650,Brickland Rd,Opp Blk 485A,1.373745,103.738354
1651,Brickland Rd,BLK 804B,1.372457887,103.7428254
1652,Brickland Rd,AFT CHOA CHU KANG AVE 6,1.3728875,103.7404039
1653,Brickland Rd,BLK 805D,1.37211783,103.7444371
1654,Brickland Rd,OPP BLK 805D,1.37203889,103.7438103
1655,Old Choa Chu Kang Rd,Choa Chu Kang Rd End,1.371743745,103.6842656
1656,Jln Bahar,Aft Nanyang Ave,1.359084608,103.6938952
1657,Jln Bahar,Bef Nanyang Ave,1.359982605,103.6939891
1658,Jln Bahar,Jln Bahar Power Stn,1.36247047,103.6928789
1659,Jln Bahar,Opp Jln Bahar Power Stn,1.363079872,103.692966
1660,Jln Bahar,Civil Defence Academy,1.365988907,103.6932732
1661,Jln Bahar,Opp Civil Defence Academy,1.36563784,103.6933082
1662,Jln Bahar,Bef Muslim Cemy Path 7,1.368932264,103.6939294
1663,Jln Bahar,Aft Chr Cemy Path 9,1.369395544,103.6942437
1664,Jln Bahar,Bef Muslim Cemy Path 1,1.372260022,103.6944518
1665,Jln Bahar,Aft Chr Cemy Path 3,1.372075744,103.6946681
1666,Lim Chu Kang Rd,Opp Lim Chu Kang Camp II,1.375947222,103.6955703
1667,Lim Chu Kang Rd,Bef Old Choa Chu Kang Rd,1.374931389,103.6955061
1668,Lim Chu Kang Rd,Aft Chinese Cemy Path 11,1.378533142,103.6962605
1669,Lim Chu Kang Rd,Opp Chinese Cemy Path 11,1.377686111,103.6963219
1670,Old Lim Chu Kang Rd,Opp HQ 5th SIB Camp I,1.380562642,103.6973253
1671,Old Lim Chu Kang Rd,HQ 5th SIB Camp I,1.379927294,103.6971152
1672,Old Choa Chu Kang Rd,Opp Chinese Cemy,1.370355319,103.6880039
1673,Old Choa Chu Kang Rd,Chinese Cemy,1.369973934,103.68741
1674,Old Choa Chu Kang Rd,Aft Track 33,1.37210056,103.6901494
1675,Old Choa Chu Kang Rd,Bef Track 33,1.372112815,103.6903841
1676,Old Choa Chu Kang Rd,Bahai Cemy,1.374096307,103.6934219
1677,Old Choa Chu Kang Rd,Opp Bahai Cemy,1.373948547,103.6940083
1678,Old Choa Chu Kang Rd,Aft Lim Chu Kang Rd,1.373632274,103.6959675
1679,Old Choa Chu Kang Rd,Bef Lim Chu Kang Rd,1.373366007,103.6961973
1680,Old Choa Chu Kang Rd,Opp Teen Challenge,1.372533322,103.7020876
1681,Old Choa Chu Kang Rd,Teen Challenge,1.372450942,103.7012194
1682,Old Choa Chu Kang Rd,Opp Jln Berseri,1.372407883,103.704187
1683,Old Choa Chu Kang Rd,Aft Jln Berseri,1.372344032,103.7035508
1684,Old Choa Chu Kang Rd,B26 Old Choa Chu Kang Rd,1.371614444,103.7099108
1685,Old Choa Chu Kang Rd,B25 Old Choa Chu Kang Rd,1.370975581,103.7093154
