Sr. No,RoadName,Description,Latitude,Longitude
269,Leng Kee Rd,Opp Motor Image,1.290895267,103.8119142
270,Ganges Ave,Ganges Ctr,1.290329066,103.8311179
271,Ganges Ave,Opp Harvest Mans,1.290521378,103.8317819
272,Ganges Ave,Blk 51 CP,1.290418509,103.827881
273,Ganges Ave,Blk 79,1.290606888,103.828653
274,Alexandra Rd,Gan Eng Seng Sec Sch,1.290616667,103.8236233
275,Alexandra Rd,Opp Gan Eng Seng Sec Sch,1.290881389,103.8240778
276,Alexandra Rd,Delta Sports Hall,1.290903358,103.8204723
277,Alexandra Rd,Opp Delta Sports Hall,1.291253319,103.8205758
278,Alexandra Rd,Opp Tanglin View,1.29116,103.8175767
279,Alexandra Rd,Tanglin View,1.291513732,103.8175766
280,Alexandra Rd,SIS Bldg,1.291538333,103.8144517
281,Alexandra Rd,Opp SIS Bldg,1.291869975,103.8144064
282,Alexandra Rd,Bef Dawson Rd,1.292158553,103.8106587
283,Alexandra Rd,Aft Dawson Rd,1.292334985,103.8114649
284,Tanglin Rd,Aft Margaret Dr,1.294283329,103.8158784
285,Tanglin Rd,Crescent Girls' Sch,1.293646713,103.8159746
286,Henderson Rd,Bef Bt Merah Ctrl,1.281363066,103.8183442
287,Henderson Rd,Aft Bt Merah Ctrl,1.281158351,103.8185725
288,Henderson Rd,Opp Blk 116,1.284846396,103.820593
289,Henderson Rd,Blk 116,1.284983341,103.8210415
290,Henderson Rd,Bef Tiong Bahru Rd,1.286755018,103.8220499
291,Henderson Rd,Aft Tiong Bahru Rd,1.287238333,103.822593
292,Lower Delta Rd,Cendex Ctr,1.280380921,103.8235303
293,Lower Delta Rd,Opp Cendex Ctr,1.280374712,103.8238734
294,Lower Delta Rd,Blk 129,1.283650723,103.8245027
295,Lower Delta Rd,Blk 25B,1.283736034,103.8248952
296,Lower Delta Rd,Opp Blk 48,1.289069722,103.8255941
297,Lower Delta Rd,Blk 48,1.28875833,103.8257346
298,Kg Bahru Rd,Opp Melati Blk 2,1.276271053,103.8312564
299,Kg Bahru Rd,Melati Blk 2,1.275881663,103.8301945
300,Hoy Fatt Rd,Shriro Hse,1.288167299,103.8116785
301,Hoy Fatt Rd,Blk 50,1.287882218,103.8109932
302,Hoy Fatt Rd,Opp Blk 53,1.289129795,103.8128084
303,Hoy Fatt Rd,Blk 52,1.288420242,103.8125755
304,Lengkok Bahru,Blk 63B,1.288970616,103.8150354
305,Lengkok Bahru,Blk 54,1.289277906,103.8140481
306,Lengkok Bahru,ENABLING VILLAGE,1.287083844,103.8139987
307,Lengkok Bahru,OPP ENABLING VILLAGE,1.287479569,103.8141894
308,Lengkok Bahru,Opp Blk 44,1.286568989,103.8116062
309,Lengkok Bahru,Blk 44,1.286665525,103.8119538
310,Redhill Rd,Opp Blk 71,1.287623803,103.817256
311,Redhill Rd,Blk 72,1.287547234,103.8163992
312,Kay Siang Rd,Aft Margaret Dr,1.296805974,103.8116914
313,Kay Siang Rd,Bef Margaret Dr,1.296684,103.8121692
314,Kay Siang Rd,Bef Tanglin Rd,1.296799931,103.8146822
315,Kay Siang Rd,Aft Tanglin Rd,1.296681,103.8154738
316,Redhill Cl,Opp Blk 73,1.287841955,103.8179716
317,Redhill Cl,Blk 73,1.288116389,103.8177839
318,Spooner Rd,KAMPONG BAHRU TER,1.275854004,103.83401
319,Jln Bt Merah,Blk 104,1.281058454,103.8252807
320,Delta Rd,Blk 4,1.291723031,103.8261095
321,Jln Rumah Tinggi,Opp Blk 36,1.28883435,103.80925
322,Bt Merah Ctrl,Blk 161,1.28329993,103.8154767
323,Bt Merah Ctrl,Blk 1003,1.283623333,103.8147283
324,Ghim Moh Rd,Ghim Moh Ter,1.311067355,103.7893224
325,Jln Bt Merah,Pk Hotel Alexandra,1.286796325,103.8056568
326,Queensway,Aft Queenstown NPC HQ,1.289418056,103.8022869
327,Queensway,Blk 166,1.290134722,103.8020211
328,Queensway,Opp Queen's Cl,1.291196667,103.800455
329,Queensway,Blk 19,1.292457629,103.7999868
330,Queensway,Aft C'wealth Dr,1.296245,103.7995233
331,Queensway,Opp Blessed Sacrament Ch,1.295460937,103.7995255
332,Queensway,Opp Queenstown Polyclinic,1.298721667,103.800298
333,Queensway,Queenstown Polyclinic,1.298828928,103.8009739
334,Queensway,Opp Queensway Sec Sch,1.302657778,103.8011869
335,Queensway,Queensway Sec Sch,1.302368532,103.8016176
336,Queensway,Blk 97,1.306213056,103.8017094
337,Queensway,Opp Blk 95,1.305441389,103.8018525
338,Queensway,Viz Holland,1.308519722,103.8025803
339,Queensway,Opp Holland Hill Lodge,1.309461355,103.8033409
340,Farrer Rd,Tulip Gdn,1.312194441,103.8036738
341,Farrer Rd,Opp Tulip Gdn,1.313053333,103.8043767
