Route,Minutes Operational,Frequency,Trips
973,1164,10.5,111
973A,47,5,9
974,1095,15,73
974A,106,2,53
975,1110,7.25,153
975B,124,7.25,17
979,1100,5,220
97e,744,3,248
98,1110,7.25,153
980,1100,13.75,80
981,789,6.25,126
982E,736,3.75,196
983,1114,5.5,203
983A,72,3.75,19
985,1120,9.75,115
98A,131,4,33
98B,182,1.25,146
98M,503,7,72
99,1125,6,188
990,1095,12,91
991,1110,10.25,108
991A,53,3.75,14
991B,48,4.5,11
9A,139,8.5,16
BPS1,810,5,162
CT18,463,7,66
CT8,465,2.75,169
